,searches,Ключевик,Ключевик new,Клики,Стоимость кликов,Целевые визиты,Active,Формы/клики,predictions
911,подключиться к яндекс такси в тюмени,подключиться яндекс такси,,1,29,1,1,100%,подключиться яндекс такси Тюмень
912,подключиться к яндекс такси курск,подключиться яндекс такси,,1,21,1,1,100%,подключиться яндекс такси Курск
913,подключиться к яндекс такси на своем авто без лицензии,подключиться яндекс такси,,1,21,1,1,100%,Unknown
914,подключиться к яндекс такси на своем авто в спб,подключиться яндекс такси,,0,0,1,1,,[яндекс такси на своем авто] Спб
915,подключиться к яндекс такси на своем авто в спб без лицензии,подключиться яндекс такси,,3,120,2,1,67%,[яндекс такси на своем авто] Спб
916,подключиться к яндекс такси на своем авто спб,подключиться яндекс такси,,2,49,1,1,50%,[яндекс такси на своем авто] Спб
917,подключиться к яндекс такси новосибирск,подключиться яндекс такси,,1,16,1,1,100%,подключиться яндекс такси Новосибирск
918,подключиться к яндекс такси рязань,подключиться яндекс такси,,2,35,2,1,100%,подключиться яндекс такси Рязань
919,подключиться к яндекс такси самара,подключиться яндекс такси,,0,0,1,1,,подключиться яндекс такси Самара
920,подключиться к яндекс такси томск,подключиться яндекс такси,,1,14,1,1,100%,подключиться яндекс такси Томск
921,подключиться к яндекс такси ульяновск,подключиться яндекс такси,,1,21,1,1,100%,подключиться яндекс такси Ульяновск
922,работа в яндекс такси кемерово подключиться,подключиться яндекс такси,,1,7,1,1,100%,Unknown
923,яндекс такси казань подключиться,подключиться яндекс такси,,1,19,0,1,0%,подключиться яндекс такси Казань
924,яндекс такси подключиться,подключиться яндекс такси,,1,19,1,1,100%,Unknown
925,яндекс такси подключиться спб парнас,подключиться яндекс такси,,1,31,1,1,100%,подключиться яндекс такси Спб
926,свежие вакансии в екатеринбург подработка,подработка +в Екатеринбурге -ночной,,0,0,1,1,,Unknown
927,подработка в москве,подработка +в Москве -ночной,,1,24,1,1,100%,Unknown
928,подработка в нижнем новгороде,подработка +в Нижнем Новгороде -ночной,,15,548,1,1,7%,Unknown
929,подработка в новочеркасске,подработка +в Новочеркасске -ночной,,0,0,1,1,,Unknown
930,подработка на лада в оренбурге,подработка +в Оренбурге -ночной,,1,25,1,1,100%,Unknown
931,подработка с авто в аксае в свободное время,подработка +в свободное время,,1,16,1,1,100%,Unknown
932,подработка в томске,подработка +в Томске -ночной,,10,331,2,1,20%,Unknown
933,подработка в челябинске оплата сразу для мужчин на авто,подработка +в Челябинске -ночной,,0,0,1,1,,Unknown
934,подработка в мытищах на своем авто,подработка +на +своем авто,,1,48,1,1,100%,Unknown
935,подработка в уфе на своем авто,подработка +на +своем авто,,1,78,1,1,100%,Unknown
936,подработка на своем авто нижний новгород авито,подработка +на +своем авто,,1,108,1,1,100%,Unknown
937,подработка в такси в свободное время на своем авто барнаул,подработка +на +своем авто +в свободное время,,1,39,1,1,100%,Unknown
938,подработка на выходные спб,подработка +на выходные,,6,238,1,1,17%,Unknown
939,подработка в иркутске на личном авто,подработка +на личном авто,,1,89,1,1,100%,Unknown
940,подработка в коломне свежие вакансии,подработка вакансии,,1,43,0,1,0%,Unknown
941,свежие вакансии в москва подработка,подработка вакансии,,2,70,1,1,50%,Unknown
942,подработка водителем в перми,подработка водитель,,1,3,1,1,100%,Unknown
943,подработка на время отпуска новосибирск,подработка время,,1,45,1,1,100%,Unknown
944,подработка вечернее время пермь,подработка время Пермь,,0,0,1,1,,Unknown
945,подработка в нижнем новгороде с ежедневной оплатой для мужчин,подработка для мужчин,,1,25,1,1,100%,Unknown
946,подработка курьером на своем авто в москве,подработка курьером +на авто,,0,0,0,1,,Unknown
947,подработка в москве с ежедневной оплатой,подработка с ежедневной оплатой -ночной,,1,50,0,1,0%,Unknown
948,подработка томск ежедневная оплата,подработка с ежедневной оплатой -ночной,,4,131,1,1,25%,Unknown
949,не такси подработка в новосибирске на своем авто,подработка такси,,1,72,1,1,100%,Unknown
950,подработка в такси на своем авто без лицензии в спб,подработка такси,,1,43,1,1,100%,Unknown
951,такси подработка уфа,подработка такси,,2,91,2,1,100%,"""подработка такси Уфа"""
952,работа в такси на авто компании москва без залога,работа +в компании такси,,308,19289,62,18,20%,Unknown
953,работа в такси на авто компании москва,работа +в компании такси,,12,800,3,3,25%,Unknown
954,работа в бизнес такси на авто компании отзывы водителей,работа +в компании такси,,2,84,2,2,100%,Unknown
955,работа в такси на авто компании,работа +в компании такси,,38,3114,2,2,5%,Unknown
956,работа в такси на авто компании машина домашняя,работа +в компании такси,,16,953,8,2,50%,Unknown
957,работа в такси на авто компании москва без залога проспект вернадского,работа +в компании такси,,2,117,2,2,100%,Unknown
958,работа в бизнес такси на авто компании москва,работа +в компании такси,,1,61,0,1,0%,Unknown
959,работа в вип такси на авто компании москва без залога,работа +в компании такси,,1,44,1,1,100%,Unknown
960,работа в такси на авто компании москва без залога без аренды,работа +в компании такси,,1,117,1,1,100%,Unknown
961,работа в такси на авто компании москва без залога отзывы водителей,работа +в компании такси,,1,37,1,1,100%,водитель такси -Москва Москва
962,работа в такси на авто компании москва без залога права выкупа,работа +в компании такси,,1,49,1,1,100%,Unknown
963,работа водителем такси в москве на авто компании с ежедневной оплатой,работа +в компании такси,,2,154,0,1,0%,водитель такси -Москва Москва
964,устроиться на работу в такси компании,работа +в компании такси,,1,46,1,1,100%,Unknown
965,работа в такси,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,2,57,2,2,100%,"""работа в такси"""
966,лучший вариант для работы в такси,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,64,1,1,100%,работа в такси хорошая
967,машина для работы в такси с выкупом москва,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,0,0,0,1,,Unknown
968,отзывы о работе в м такси москва,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,58,1,1,100%,Unknown
969,отзывы о работе в такси бери такси водителем,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,48,0,1,0%,Unknown
970,программа для работы в такси,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,33,1,1,100%,Unknown
971,работа в копейске такси,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,23,1,1,100%,Unknown
972,работа в москве такси smartcity,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,80,0,1,0%,Unknown
973,работа в такси в городе нижневартовске,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,31,1,1,100%,Unknown
974,работа в такси в первоуральске,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,2,154,1,1,50%,Unknown
975,работа в такси екатеринбург,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,2,121,1,1,50%,Unknown
976,работа в такси лидер новосибирск,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,154,1,1,100%,Unknown
977,работа в такси онлайн регистрация астрахань,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,37,1,1,100%,Unknown
978,работа в такси орск,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,22,1,1,100%,Unknown
979,работа в такси рубин в краснодаре,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,87,0,1,0%,Unknown
980,работа в такси со своим автомобилем,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,0,0,1,1,,Unknown
981,работа в такси сочи,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,0,0,0,1,,Unknown
982,работа вахтой в такси в москве,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,63,1,1,100%,Unknown
983,работа водителем такси в москве,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,36,1,1,100%,водитель такси -Москва Москва
984,работа такси в ростове со своим авто,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,65,1,1,100%,Unknown
985,субару форестер 2011г для работы в такси,работа +в такси -!2 -!на -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,127,0,1,0%,Unknown
986,в краснодаре работа в такси без своей машины,работа +в такси +без,,1,47,1,1,100%,Unknown
987,работа в такси аренда сутки без залога,работа +в такси +без,,0,0,1,1,,Unknown
988,работа водителем такси в балашихе без аренды авто,работа +в такси +без авто,,1,111,0,1,0%,водитель такси -Москва Балашиха
989,аренда авто для работы в такси с выкупом на газу,работа +в такси +на,,1,97,0,1,0%,Unknown
990,работа в перми на собственном автомобиле в такси,работа +в такси +на,,0,0,1,1,,Unknown
991,работа в такси в екатеринбурге на авто компании,работа +в такси +на,,1,89,0,1,0%,Unknown
992,работа в такси на авто компании ростов на дону,работа +в такси +на,,1,66,0,1,0%,Unknown
993,работа в такси на комфорте,работа +в такси +на,,1,44,1,1,100%,Unknown
994,работа в такси на своем авто зеленокумск,работа +в такси +на,,1,48,1,1,100%,Unknown
995,работа в элитном такси на своей машине,работа +в такси +на,,1,45,1,1,100%,Unknown
996,работа в пензе в такси на авто компании,работа +в такси +на авто -личной,,1,35,1,1,100%,Unknown
997,работа в такси в воронеже на личном авто,работа +в такси +на личном авто,,1,47,1,1,100%,работа такси личное авто
998,работа в такси в рязани на личном авто,работа +в такси +на личном авто,,1,39,1,1,100%,работа такси личное авто
999,работа в такси бердск на своей машине,работа +в такси +на машине -личной,,2,259,2,2,100%,Unknown
1000,работа в ярославле такси на арендованной машине,работа +в такси +на машине -личной,,0,0,2,2,,Unknown
1001,работа в такси на их машине в новосибирске,работа +в такси +на машине -личной,,1,86,0,1,0%,Unknown
1002,аренда авто для работы в такси без залога москва 1000 рублей,работа +в такси аренда,,1,66,0,1,0%,Unknown
1003,аренда для работы в такси взять в свао,работа +в такси аренда,,1,47,1,1,100%,Unknown
1004,аренда такси комфорт класса для работы без залога в москве,работа +в такси аренда,,1,97,1,1,100%,Unknown
1005,работа в москве такси аренда,работа +в такси аренда,,0,0,0,1,,Unknown
1006,работа в такси без аренды и залога в москве с ежедневной оплатой,работа +в такси аренда,,1,116,1,1,100%,Unknown
1007,работа на такси для граждан снг в москве аренда без залога,работа +в такси аренда,,1,38,1,1,100%,Unknown
1008,работа такси в москве аренда,работа +в такси аренда,,1,38,1,1,100%,Unknown
1009,шкода октавия в аренду для работы в такси,работа +в такси аренда,,3,190,0,1,0%,Unknown
1010,шкода октавия в аренду для работы в такси москва,работа +в такси аренда,,1,25,1,1,100%,Unknown
1011,работа в бизнес такси,работа +в такси бизнес,,2,143,2,2,100%,Unknown
1012,работа в такси везет екатеринбург,работа +в такси везет -отзыв,,1,41,0,1,0%,Unknown
1013,работа в такси везет нижний новгород,работа +в такси везет -отзыв,,1,74,1,1,100%,Unknown
1014,лучшее такси для работы в воронеже,работа +в такси Воронеж,,0,0,0,1,,работа в такси хорошая
1015,работа в москве такси ежедневные выплаты,работа +в такси ежедневно,,2,167,2,1,100%,Unknown
1016,работа в такси 50 50 оплата ежедневно в москве,работа +в такси ежедневно,,1,75,0,1,0%,Unknown
1017,работа в такси с ежедневной оплатой в москве,работа +в такси ежедневно,,1,134,1,1,100%,Unknown
1018,работа в такси иркутск,работа +в такси Иркутск,,2,92,1,1,50%,Unknown
1019,работа в такси искитиме,работа +в такси Искитим,,0,0,0,1,,Unknown
1020,работа в такси пенза ищу,работа +в такси ищу,,1,33,0,1,0%,Unknown
1021,работа такси в магнитогорске,работа +в такси Магнитогорск,,1,37,1,1,100%,Unknown
1022,работа в такси гост муром,работа +в такси Муром,,1,34,0,1,0%,Unknown
1023,такси найти работу в городе тула,работа +в такси найти,,1,44,1,1,100%,Unknown
1024,работа в такси везет нижний новгород отзывы водителей 2017,работа +в такси Нижний,,1,47,1,1,100%,водитель такси -Москва Нижний Новгород
1025,работа в бизнес такси новосибирск,работа +в такси Новосибирск,,1,68,1,1,100%,Unknown
1026,работа в такси в новочеркасске свободный,работа +в такси Новочеркасск,,3,78,3,1,100%,Unknown
1027,работа в такси через приложение без лицензии новочеркасск,работа +в такси Новочеркасск,,1,51,1,1,100%,Unknown
1028,устройство на работу в такси город ноябрьск,работа +в такси Ноябрьск,,1,32,1,1,100%,Unknown
1029,работа в такси на своей машине в волгограде отзывы,работа +в такси отзывы -водитель,,1,50,0,1,0%,Unknown
1030,работа такси в москве для граждан рф официально,работа +в такси официально,,2,71,0,1,0%,Unknown
1031,работа в такси петрозаводск свежие,работа +в такси Петрозаводск,,2,121,2,1,100%,Unknown
1032,приложение для работы в такси,работа +в такси приложение,,1,36,1,1,100%,Unknown
1033,работа в такси рязань,работа +в такси Рязань,,0,0,2,1,,Unknown
1034,работа в такси в самаре на авто компании,работа +в такси Самара,,1,52,1,1,100%,Unknown
1035,работа в такси на своей машине в спб свободный график,работа +в такси свободный график,,36,3123,1,2,3%,Unknown
1036,работа в такси новосибирск с личным автомобилем график свободный,работа +в такси свободный график,,2,79,1,1,50%,Unknown
1037,работа в такси со свободным графиком в новокузнецке,работа +в такси свободный график,,1,60,1,1,100%,Unknown
1038,работа в такси в старом осколе,работа +в такси Старый Оскол,,1,47,1,1,100%,Unknown
1039,работа в такси в старом осколе отзывы,работа +в такси Старый Оскол,,1,47,1,1,100%,Unknown
1040,работа такси в сыктывкаре,работа +в такси Сыктывкар,,0,0,0,1,,Unknown
1041,работа в такси тамбов,работа +в такси Тамбов,,2,86,2,2,100%,Unknown
1042,работа в такси максим тамбов отзывы водителей,работа +в такси Тамбов,,1,46,1,1,100%,Unknown
1043,работа в такси форум новосибирск,работа +в такси форум,,1,62,1,1,100%,Unknown
1044,какое такси лучше для работы в саратове,работа +в такси хорошая,,2,89,2,2,100%,работа в такси хорошая
1045,заявка на работу в яндекс такси на своей машине,работа +в такси яндекс +на +своей машине,,1,15,1,1,100%,Unknown
1046,работа в яндекс такси в самаре на своей машине,работа +в такси яндекс +на +своей машине,,2,41,2,1,100%,[работа в яндекс такси] -вакансия -работать Самара
1047,какая связь должна быть при работе в яндекс такси,работа +в яндекс такси -вакансии -отзывы -петербург -питер -спб -условие,,1,32,1,1,100%,Unknown
1048,работа в яндекс такси,работа +в яндекс такси -вакансии -отзывы -петербург -питер -спб -условие,,0,0,1,1,,"""работа в яндекс такси"""
1049,работа в яндекс такси на айфоне,работа +в яндекс такси -вакансии -отзывы -петербург -питер -спб -условие,,1,53,0,1,0%,Unknown
1050,работа в яндекс такси,работа +в яндекс такси -условие,,18,274,14,12,78%,"""работа в яндекс такси"""
1051,принцип работы в яндекс такси,работа +в яндекс такси -условие,,2,100,0,2,0%,Unknown
1052,работа в яндекс такси барнаул,работа +в яндекс такси -условие,,8,94,4,2,50%,Unknown
1053,работа в яндекс такси великий новгород,работа +в яндекс такси -условие,,3,28,2,2,67%,[работа в яндекс такси] -вакансия -работать Новгород
1054,работа в яндекс такси иркутск,работа +в яндекс такси -условие,,0,0,0,2,,Unknown
1055,работа в яндекс такси йошкар ола,работа +в яндекс такси -условие,,6,111,2,2,33%,Unknown
1056,работа в яндекс такси на своем авто тамбов,работа +в яндекс такси -условие,,1,24,1,2,100%,яндекс такси работа свое авто
1057,работа в яндекс такси скачать программу бесплатно,работа +в яндекс такси -условие,,2,41,2,2,100%,Unknown
1058,яндекс работа в такси таганрог,работа +в яндекс такси -условие,,2,31,2,2,100%,Unknown
1059,яндекс такси в алма ате работа,работа +в яндекс такси -условие,,2,30,2,2,100%,Unknown
1060,яндекс такси работа на своей машине в нижнем новгороде отзывы водителей,работа +в яндекс такси -условие,,2,48,2,2,100%,водитель яндекс работа
1061,альтера регистрация для работы в такси яндекс барнаул,работа +в яндекс такси -условие,,2,98,0,1,0%,Unknown
1062,инструкция по работе в яндекс такси,работа +в яндекс такси -условие,,1,14,0,1,0%,Unknown
1063,как мне начать работу в такси яндекс в городе кустанай,работа +в яндекс такси -условие,,1,18,1,1,100%,Unknown
1064,как регистрироваться в такси яндекс работа,работа +в яндекс такси -условие,,1,35,1,1,100%,Unknown
1065,как скачать приложение для работы в такси яндекс новокузнецк,работа +в яндекс такси -условие,,1,33,1,1,100%,[работа в яндекс такси] -вакансия -работать Новокузнецк
1066,какое приложение скачать для работы в яндекс такси на своей машине,работа +в яндекс такси -условие,,1,6,1,1,100%,Unknown
1067,недорогой смартфон для работы в яндекс такси,работа +в яндекс такси -условие,,1,54,0,1,0%,Unknown
1068,приложение для работы в яндекс такси,работа +в яндекс такси -условие,,1,23,1,1,100%,Unknown
1069,приложение для работы в яндекс такси на айфон,работа +в яндекс такси -условие,,1,21,1,1,100%,Unknown
1070,приложение для работы в яндекс такси на андроид,работа +в яндекс такси -условие,,0,0,1,1,,Unknown
1071,приложение для работы в яндекс такси на андроид бесплатно,работа +в яндекс такси -условие,,1,17,1,1,100%,Unknown
1072,работа в барнауле яндекс такси,работа +в яндекс такси -условие,,1,24,1,1,100%,Unknown
1073,работа в такси яндекс,работа +в яндекс такси -условие,,0,0,1,1,,"""работа в яндекс такси"""
1074,работа в такси яндекс барнаул,работа +в яндекс такси -условие,,1,18,1,1,100%,Unknown
1075,работа в такси яндекс на авто,работа +в яндекс такси -условие,,1,23,1,1,100%,Unknown
1076,работа в такси яндекс нн,работа +в яндекс такси -условие,,1,30,1,1,100%,Unknown
1077,работа в яндекс такси алматы,работа +в яндекс такси -условие,,0,0,1,1,,Unknown
1078,работа в яндекс такси без посредников в сочи,работа +в яндекс такси -условие,,1,24,1,1,100%,[работа в яндекс такси] -вакансия -работать Сочи
1079,работа в яндекс такси белгород,работа +в яндекс такси -условие,,3,104,2,1,67%,[работа в яндекс такси] -вакансия -работать Белгород
1080,работа в яндекс такси в астрахани,работа +в яндекс такси -условие,,1,14,1,1,100%,Unknown
1081,работа в яндекс такси в брянске,работа +в яндекс такси -условие,,2,45,1,1,50%,[работа в яндекс такси] -вакансия -работать Брянск
1082,работа в яндекс такси в геленджике,работа +в яндекс такси -условие,,1,25,1,1,100%,[работа в яндекс такси] -вакансия -работать Геленджик
1083,работа в яндекс такси в костроме,работа +в яндекс такси -условие,,1,23,1,1,100%,[работа в яндекс такси] -вакансия -работать Кострома
1084,работа в яндекс такси город тюмень,работа +в яндекс такси -условие,,1,21,1,1,100%,[работа в яндекс такси] -вакансия -работать Тюмень
1085,работа в яндекс такси кызыл,работа +в яндекс такси -условие,,1,7,1,1,100%,[работа в яндекс такси] -вакансия -работать Кызыл
1086,работа в яндекс такси набережные челны,работа +в яндекс такси -условие,,1,7,1,1,100%,работа яндекс такси -Москва Набережные Челны
1087,работа в яндекс такси петропавловск,работа +в яндекс такси -условие,,1,16,1,1,100%,[работа в яндекс такси] -вакансия -работать Петропавловск
1088,работа в яндекс такси тверь,работа +в яндекс такси -условие,,0,0,1,1,,[работа в яндекс такси] -вакансия -работать Тверь
1089,регистрация на работу в такси яндекс,работа +в яндекс такси -условие,,1,32,1,1,100%,Unknown
1090,свежие вакансии в нефтекамск яндекс такси работа,работа +в яндекс такси -условие,,1,31,1,1,100%,вакансия яндекс такси
1091,скачать приложение для работы в яндекс такси в челябинске,работа +в яндекс такси -условие,,1,14,1,1,100%,[работа в яндекс такси] -вакансия -работать Челябинск
1092,что нужно для работы в такси яндекс,работа +в яндекс такси -условие,,1,41,1,1,100%,Unknown
1093,что нужно для работы в яндекс такси,работа +в яндекс такси -условие,,1,20,1,1,100%,Unknown
1094,что требуется для работы в яндекс такси на своей,работа +в яндекс такси -условие,,1,17,1,1,100%,Unknown
1095,яндекс такси в брянске работа адрес,работа +в яндекс такси -условие,,0,0,0,1,,[работа в яндекс такси] -вакансия -работать Брянск
1096,яндекс такси работа в рязани,работа +в яндекс такси -условие,,1,15,1,1,100%,[работа в яндекс такси] -вакансия -работать Рязань
1097,яндекс такси работа в челябинске,работа +в яндекс такси -условие,,3,42,1,1,33%,[работа в яндекс такси] -вакансия -работать Челябинск
1098,яндекс такси работа на своем автомобиле в новомосковске тульской области,работа +в яндекс такси -условие,,2,36,2,1,100%,[работа в яндекс такси] -вакансия -работать Новомосковск
1099,работа в яндекс такси на авто компании,работа +в яндекс такси +на авто компании,,6,122,5,5,83%,Unknown
1100,работа в такси яндекс на авто компании,работа +в яндекс такси +на авто компании,,1,35,1,1,100%,Unknown
1101,работа в яндекс такси в челябинске на авто компании,работа +в яндекс такси +на авто компании,,3,72,2,1,67%,[работа в яндекс такси] -вакансия -работать Челябинск
1102,работа в яндекс такси на авто компании в нижнем новгороде,работа +в яндекс такси +на авто компании,,1,28,1,1,100%,[работа в яндекс такси] -вакансия -работать Новгород
1103,такси яндекс в абакане работа,работа +в яндекс такси Абакан,,3,21,2,1,67%,[работа в яндекс такси] -вакансия -работать Абакан
1104,работа такси яндекс в актобе,работа +в яндекс такси Актобе,,0,0,1,1,,[работа в яндекс такси] -вакансия -работать Актобе
1105,зарегистрироваться на яндекс такси для работы на своем автомобиле в астане,работа +в яндекс такси Астана,,1,11,1,1,100%,[работа в яндекс такси] -вакансия -работать Астана
1106,работа в яндекс такси балаково,работа +в яндекс такси Балаково,,6,111,2,2,33%,Unknown
1107,яндекс такси в бишкеке работа,работа +в яндекс такси Бишкек,,1,23,0,1,0%,[работа в яндекс такси] -вакансия -работать Бишкек
1108,работа в яндекс такси владимир,работа +в яндекс такси Владимир,,2,23,2,1,100%,[работа в яндекс такси] -вакансия -работать Владимир
1109,работа водителем во владимире в яндекс такси,работа +в яндекс такси Владимир,,1,13,1,1,100%,водитель яндекс работа
1110,яндекс такси работа на своем авто в волгограде,работа +в яндекс такси Волгоград,,2,48,2,2,100%,яндекс такси работа свое авто
1111,работа в яндекс такси волгодонск отзывы,работа +в яндекс такси Волгодонск,,1,16,1,1,100%,Unknown
1112,работа в яндекс такси воронеж,работа +в яндекс такси Воронеж,,1,32,1,1,100%,[работа в яндекс такси] -вакансия -работать Воронеж
1113,работа в яндекс такси георгиевск,работа +в яндекс такси Георгиевск,,1,2,1,1,100%,[работа в яндекс такси] -вакансия -работать Георгиевск
1114,работа в яндекс такси екатеринбург,работа +в яндекс такси Екатеринбург,,29,1244,7,3,24%,[работа в яндекс такси] -вакансия -работать Екатеринбург
1115,яндекс такси в каменске уральском работа,работа +в яндекс такси Каменск Уральский,,1,12,1,1,100%,Unknown
1116,работа в яндекс такси караганда,работа +в яндекс такси караганда,,1,7,1,1,100%,[работа в яндекс такси] -вакансия -работать караганда
